#Clone = Identifier of Drosophila Gene Collection (DGC) cDNA clone (DGC: http://www.fruitfly.org/DGC/index.html)	
#Fold_change (A/B) = Relative fold-amount of spiked-in clone in sample A compared to sample B	
Clone	Fold_change (A/B)
LP11415	3.5
LP11484	1
LP11503	1
LP11520	1
LP11568	1
LP11612	1
LP11629	1
LP11673	1
LP11751	1
LP12157	1
LP12231	1
LP12257	1
LP12301	1
RE03627	2
RE08455	0.833333333333333
RE13587	0.833333333333333
RE14652	0.833333333333333
RE21922	2
RE24565	2
RE24967	2
RE26725	2
RE27803	0.833333333333333
RE32803	2
RE38703	0.833333333333333
RE39769	0.833333333333333
RE47447	2
RE48339	2
RE49094	0.833333333333333
RE49158	2
RE56869	2
RE69176	0.833333333333333
RE71127	0.833333333333333
RH01263	2
RH01479	0.833333333333333
RH01665	2
RH02452	0.833333333333333
RH42110	0.833333333333333
SD01014	1
SD01032	1
SD01065	0.25
SD01079	1
SD01102	1
SD01117	0.25
SD01152	1
SD01170	1
SD01193	1
SD01201	1
SD01229	1
SD01232	1
SD01238	1
SD01241	1
SD01276	1
SD01284	1
SD01285	1
SD01287	1
SD01380	1
SD01389	1
SD01502	1
SD01504	1
SD01505	1
SD01508	1
SD01509	1
SD01515	1
SD01519	1
SD01527	0.25
SD01538	1
SD01552	1
SD01558	1
SD01562	1
SD01586	1
SD01613	1
SD01615	1
SD01621	1
SD01637	1
SD01656	1
SD01662	1
SD01663	1
SD01674	1
SD01679	1
SD01727	1
SD01736	1
SD01790	1
SD01793	0.25
SD01796	1
SD01812	1
SD01823	1
SD01848	1
SD01877	1
SD01878	1
SD01935	1
SD01953	1
SD01985	1
SD02021	3.5
SD02026	1
SD02058	0.25
SD02086	1
SD02108	1
SD02110	1
SD02116	1
SD02118	0.25
SD02122	1
SD02148	1
SD02150	1
SD02173	0.25
SD02216	1
SD02223	1
SD02225	0.25
SD02228	1
SD02241	1
SD02261	1
SD02269	1
SD02276	1
SD02279	1
SD02282	1
SD02309	1
SD02315	1
SD02332	0.25
SD02338	1
SD02373	1
SD02391	1
SD02406	1
SD02418	1
SD02419	1
SD02424	1
SD02428	1
SD02447	1
SD02478	1
SD02481	1
SD02490	1
SD02507	1
SD02517	1
SD02518	1
SD02526	1
SD02533	1
SD02536	1
SD02552	1
SD02553	1
SD02572	1
SD02611	1
SD02622	1
SD02625	1
SD02641	1
SD02658	1
SD02660	1
SD02661	1
SD02665	3.5
SD02734	1
SD02746	1
SD02803	1
SD02805	1
SD02824	1
SD02833	1
SD02860	1
SD02875	1
SD02883	1
SD02886	1
SD02894	1
SD02907	1
SD02943	1
SD02951	1
SD02969	1
SD02971	1
SD02972	1
SD02978	1
SD02991	1
SD02996	1
SD03001	0.25
SD03002	1
SD03042	1
SD03057	1
SD03066	1
SD03071	1
SD03094	1
SD03117	1
SD03119	1
SD03142	0.25
SD03144	1
SD03158	1
SD03168	1
SD03187	1
SD03196	1
SD03208	1
SD03244	1
SD03267	1
SD03277	1
SD03278	1
SD03282	1
SD03289	1
SD03311	1
SD03319	0.25
SD03330	1
SD03340	1
SD03358	1
SD03374	1
SD03378	1
SD03412	1
SD03428	1
SD03430	1
SD03439	3.5
SD03462	0.25
SD03464	1
SD03467	1
SD03524	1
SD03546	1
SD03549	1
SD03555	1
SD03570	0.25
SD03580	1
SD03592	1
SD03610	1
SD03629	1
SD03652	1
SD03655	1
SD03660	1
SD03723	1
SD03724	1
SD03761	1
SD03793	0.25
SD03837	0.25
SD03848	1
SD03863	1
SD03870	1
SD03914	1
SD03917	1
SD03956	1
SD03967	1
SD03973	1
SD03976	1
SD04011	1
SD04017	1
SD04019	1
SD04054	1
SD04057	1
SD04061	1
SD04091	1
SD04106	1
SD04165	1
SD04170	1
SD04201	1
SD04216	1
SD04227	1
SD04231	1
SD04240	1
SD04244	1
SD04273	1
SD04280	1
SD04291	1
SD04292	3.5
SD04308	1
SD04329	1
SD04373	1
SD04405	1
SD04414	1
SD04448	1
SD04463	1
SD04476	1
SD04477	1
SD04493	1
SD04505	1
SD04526	1
SD04548	1
SD04586	0.25
SD04590	1
SD04592	1
SD04616	1
SD04624	1
SD04652	1
SD04658	1
SD04681	1
SD04682	1
SD04693	1
SD04694	1
SD04710	1
SD04735	1
SD04737	1
SD04739	1
SD04745	1
SD04748	1
SD04753	1
SD04793	1
SD04822	1
SD04853	1
SD04868	1
SD04906	1
SD04909	1
SD04925	1
SD04942	1
SD04949	1
SD04959	1
SD04969	1
SD04973	1
SD04977	1
SD04985	1
SD05004	1
SD05024	3.5
SD05105	1
SD05126	1
SD05186	1
SD05207	1
SD05212	0.25
SD05215	1
SD05230	1
SD05240	0.25
SD05267	1
SD05277	1
SD05282	1
SD05285	3.5
SD05291	1
SD05329	1
SD05339	1
SD05379	1
SD05384	1
SD05389	1
SD05403	1
SD05406	1
SD05424	1
SD05444	1
SD05477	1
SD05480	1
SD05481	1
SD05495	1
SD05496	1
SD05512	1
SD05527	1
SD05534	1
SD05564	1
SD05591	1
SD05592	1
SD05601	1
SD05618	1
SD05640	1
SD05642	1
SD05646	1
SD05649	1
SD05665	1
SD05712	1
SD05719	1
SD05726	1
SD05742	1
SD05769	1
SD05785	1
SD05789	1
SD05804	1
SD05875	1
SD05886	1
SD05887	1
SD05904	1
SD05932	1
SD05937	1
SD05938	1
SD05950	1
SD05956	3.5
SD05989	1
SD06302	1
SD06318	1
SD06328	1
SD06355	3.5
SD06362	1
SD06366	1
SD06390	3.5
SD06427	1
SD06439	3.5
SD06504	3.5
SD06513	3.5
SD06557	1
SD06560	3.5
SD06579	3.5
SD06594	1
SD06609	3.5
SD06613	3.5
SD06617	1
SD06626	1
SD06635	0.25
SD06668	3.5
SD06673	3.5
SD06708	1
SD06722	3.5
SD06787	1
SD06791	0.25
SD06839	3.5
SD06851	1
SD06874	1
SD06892	1
SD06902	1
SD06908	1
SD06922	1
SD06923	1
SD06937	1
SD06977	1
SD07008	3.5
SD07020	0.25
SD07027	1
SD07045	1
SD07085	3.5
SD07139	1
SD07147	1
SD07148	1
SD07158	3.5
SD07170	3.5
SD07188	3.5
SD07191	3.5
SD07194	3.5
SD07234	3.5
SD07261	1
SD07266	3.5
SD07269	3.5
SD07276	1
SD07279	1
SD07295	3.5
SD07306	1
SD07336	3.5
SD07339	0.25
SD07343	1
SD07354	3.5
SD07362	3.5
SD07366	1
SD07391	3.5
SD07396	1
SD07421	3.5
SD07435	1
SD07467	1
SD07475	0.25
SD07495	1
SD07514	1
SD07518	1
SD07532	3.5
SD07604	1
SD07605	3.5
SD07608	1
SD07613	3.5
SD07614	3.5
SD07644	1
SD07650	3.5
SD07655	1
SD07675	1
SD07678	1
SD07683	1
SD07707	3.5
SD07712	1
SD07714	3.5
SD07723	1
SD07726	1
SD07737	1
SD07741	1
SD07763	1
SD07766	1
SD07768	1
SD07771	3.5
SD07783	3.5
SD07787	3.5
SD07795	1
SD07852	1
SD07884	1
SD07888	3.5
SD07907	1
SD07911	3.5
SD07915	3.5
SD07933	0.25
SD07967	1
SD07983	1
SD08002	1
SD08006	3.5
SD08021	3.5
SD08036	3.5
SD08037	3.5
SD08058	3.5
SD08060	3.5
SD08104	3.5
SD08108	1
SD08128	1
SD08134	3.5
SD08136	1
SD08157	1
SD08161	3.5
SD08167	1
SD08175	3.5
SD08189	1
SD08238	1
SD08263	1
SD08305	1
SD08329	1
SD08336	3.5
SD08412	3.5
SD08423	3.5
SD08430	3.5
SD08447	3.5
SD08549	3.5
SD08605	3.5
SD08609	1
SD08625	1
SD08653	0.25
SD08659	1
SD08664	3.5
SD08668	3.5
SD08722	0.25
SD08734	1
SD08737	0.25
SD08771	0.25
SD08776	0.25
SD08787	3.5
SD08803	1
SD08871	1
SD08909	1
SD08921	1
SD08996	1
SD09005	3.5
SD09011	1
SD09045	3.5
SD09067	1
SD09109	1
SD09116	3.5
SD09147	0.25
SD09178	1
SD09246	1
SD09259	3.5
SD09294	0.25
SD09295	0.25
SD09318	3.5
SD09326	1
SD09342	1
SD09359	1
SD09360	1
SD09370	3.5
SD09379	1
SD09393	1
SD09402	1
SD09407	1
SD09427	1
SD09455	3.5
SD09476	3.5
SD09478	1
SD09488	1
SD09502	1
SD09607	0.25
SD09611	1
SD09634	0.25
SD09672	3.5
SD09735	3.5
SD09738	3.5
SD09769	1
SD09786	3.5
SD09792	1
SD09829	3.5
SD09850	3.5
SD09860	1
SD09866	1
SD09884	3.5
SD09912	3.5
SD09926	1
SD10002	3.5
SD10012	1
SD10018	3.5
SD10038	3.5
SD10041	3.5
SD10043	1
SD10060	3.5
SD10157	3.5
SD10213	3.5
SD10242	1
SD10251	1
SD10270	3.5
SD10272	3.5
SD10289	3.5
SD10307	1
SD10311	1
SD10334	1
SD10366	3.5
SD10374	3.5
SD10385	3.5
SD10391	1
SD10401	1
SD10403	3.5
SD10415	3.5
SD10416	3.5
SD10447	3.5
SD10469	1
SD10476	1
SD10481	1
SD10511	0.25
SD10530	1
SD10541	1
SD10554	3.5
SD10560	0.25
SD10595	1
SD10603	1
SD10604	3.5
SD10607	1
SD10611	1
SD10626	1
SD10629	3.5
SD10657	1
SD10674	1
SD10676	1
SD10722	1
SD10723	1
SD10763	1
SD10769	1
SD10776	1
SD10782	1
SD10789	1
SD10843	3.5
SD10847	1
SD10848	1
SD10857	1
SD10877	1
SD10882	1
SD10926	1
SD10928	1
SD10961	1
SD10969	1
SD10981	1
SD10988	1
